"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2151A2.3",0.925258829145254,-1.87626356082805,2.09427773553713,-0.895900065683906,0.370306139088654,0.470256052190689
"CTD-2152M20.2",17.8663917344109,0.108405764375441,0.390185369838265,0.277831443091717,0.781141752945225,0.836576461237037
"CTD-2154B17.4",3.49263641358984,2.45148406506062,0.802028088817335,3.0566062451448,0.00223858130479481,0.00661870243257371
"CTD-2154I11.2",2.4655277868361,-0.0207001509479404,1.08869985986584,-0.0190136434393325,0.984830221486928,0.988932501926905
"CTD-2160D9.1",1.73076282946835,-3.27410593031289,1.75162388214329,-1.86918319833975,0.0615973310036099,0.110629914205841
"CTD-2162K18.3",22.8179737436563,-0.475540131974119,0.520070971339429,-0.914375456775405,0.360519593641601,0.460408727980715
"CTD-2162K18.4",67.292564078283,-1.12739324509844,0.385085113816999,-2.92764691401236,0.00341537661283548,0.00955936258646094
"CTD-2165H16.3",80.7400267229102,-1.21851213573125,0.480507052223895,-2.53588814168636,0.011216255460878,0.0264930625650808
"CTD-2165H16.4",50.4115541090236,-0.0476740221426365,0.548940008397642,-0.0868474175926749,0.930792796193947,0.949155444435967
"CTD-2168K21.2",11.0522236613071,0.788849687076364,0.642525856864141,1.22773220509188,0.219547512686056,0.311503711236129
"CTD-2179L22.1",21.9997175090665,-2.37451246014709,0.665717270675832,-3.56684821731679,0.000361300607048732,0.00133766849933943
"CTD-2183H9.3",0.987577924864664,-1.17670891022935,1.38700298436903,-0.84838239246086,0.396225045313144,0.495950815412773
"CTD-2184C24.2",3.72815781156053,0.672749524181802,0.609263982579228,1.10420038508401,0.269506222660506,0.365865916329841
"CTD-2184D3.6",10.1310961552093,1.18630584678282,0.442813155213601,2.6790212368704,0.0073837710651363,0.0185516418747054
"CTD-2186M15.3",176.521453164446,-0.486881530556331,0.407749414790171,-1.19407045821729,0.232450407970335,0.325972282223609
"CTD-2189E23.1",4.48962213166813,3.65748447453529,0.884076949488136,4.13706575728833,3.51775323553333e-05,0.000168500259469774
"CTD-2189E23.2",1.41482840094305,3.41568690333342,1.44212019944442,2.36851748186408,0.0178595363352079,0.0392536409712925
"CTD-2192J16.11",11.8343172042811,-1.07794620976808,0.349276148564698,-3.08622908892505,0.00202712575253833,0.0060711732402251
"CTD-2192J16.15",175.884106756928,0.384461123299765,0.157425521108423,2.44217786666862,0.0145989519310123,0.0331125875414735
"CTD-2192J16.20",38.0511698093279,0.60901106130811,0.360474112294987,1.6894723935397,0.0911289379401069,0.152700867187629
"CTD-2192J16.21",5.45725287936866,-0.280839047758177,0.586913262424759,-0.478501791896686,0.632293099214215,0.713392948413407
"CTD-2192J16.22",3.70081969563028,1.20298632491803,0.644990999709115,1.86512110317905,0.0621644311700971,0.111419443227829
"CTD-2192J16.26",21.1297508762566,-0.591301302368142,0.437056546549657,-1.35291716148899,0.176082096176991,0.260747709039048
"CTD-2194F4.2",1.2744248942561,-4.34262630819694,2.25433594177553,-1.92634390807639,0.0540614462929293,0.0993934440588741
"CTD-2196E14.6",57.2996392400979,0.0757568224934295,0.427892489813769,0.177046394355743,0.859471947727828,0.896245425355541
