,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
FAM41C,20,14,16,15,9,6,45,28,27,2,0,2,22,4,4,17,23,7
FAM43A,125,74,99,55,71,55,57,65,83,39,74,60,112,33,48,42,71,93
FAM43B,12,8,8,1,10,3,40,6,4,0,0,0,7,2,2,10,2,14
FAM45A,667,746,661,887,699,688,1012,749,806,473,573,780,370,309,344,179,220,265
FAM46A,672,808,729,632,520,590,452,889,730,853,1532,1786,4171,2477,3236,2188,2410,5447
FAM46B,22,38,21,48,36,40,51,51,37,3,22,19,22,27,16,8,15,25
FAM46C,150,244,131,101,90,92,19,20,10,5,13,8,373,448,403,238,304,480
FAM46D,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0
FAM47A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47C,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
FAM47DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47E,239,199,180,274,141,151,111,166,108,15,34,27,174,49,64,151,138,122
FAM47E-STBD1,260,290,269,204,157,130,91,91,70,0,0,0,0,0,1,0,0,0
FAM49A,4,2,1,1,2,6,33,5,8,26,45,170,1013,1193,1615,579,708,1678
FAM49B,2085,1786,1881,2277,1509,1830,3419,3169,2925,580,2078,1270,2673,2558,4210,1956,2348,4912
FAM50A,1794,1923,1572,1514,1545,1910,2866,2872,2748,1456,3698,2011,3042,1586,2237,1759,1615,2687
FAM50B,372,408,351,302,286,261,441,313,291,116,525,366,768,472,1014,414,586,1126
FAM53A,132,118,115,83,139,155,59,70,69,10,23,8,40,26,27,30,38,51
FAM53B,1325,1399,1365,879,936,1164,1471,1237,956,249,735,455,923,561,712,482,586,666
FAM53B-AS1,4,4,2,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
FAM53C,2099,2325,1720,1952,1374,1689,866,776,817,315,772,439,1229,980,1113,764,861,1468
FAM57A,683,816,694,652,657,744,705,749,739,162,845,436,958,679,1065,508,698,1008
FAM57B,1408,2022,1514,1423,1550,1457,4308,3312,3622,152,348,177,1460,357,782,983,885,1128
FAM58A,270,331,325,321,295,285,846,736,684,94,267,165,321,280,390,107,171,412
FAM58BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM58CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM58DP,1,0,0,0,0,0,0,1,1,0,0,0,28,4,14,40,51,57
FAM60A,3535,4239,3561,5902,3105,2915,6766,8934,8566,242,1673,495,4965,5686,10112,5263,6579,16187
FAM60BP,0,1,1,0,0,0,0,3,1,0,3,0,0,0,1,3,0,1
FAM60CP,11,1,4,5,3,1,11,9,5,1,0,0,4,2,7,4,8,19
FAM63A,552,700,560,555,393,518,285,309,262,154,383,224,273,282,283,159,140,242
FAM63B,651,872,716,887,347,488,1045,859,920,3964,4144,4072,2451,2664,3747,1495,1624,3272
FAM64A,2431,2805,2333,2356,2153,2261,2908,2269,2287,258,1838,928,2504,1639,2471,1259,1354,3786
FAM65A,634,720,566,498,424,425,1219,1058,1190,15,35,12,98,22,25,50,59,45
FAM65B,53,20,23,14,4,7,181,50,93,763,1804,1829,5475,3331,7127,2801,3638,4802
FAM65C,213,268,149,123,139,276,14,14,14,70,79,139,41,7,27,42,38,33
FAM66A,53,38,35,31,16,26,28,24,19,0,3,2,3,3,1,1,1,4
FAM66B,49,50,37,36,25,33,69,56,43,2,21,1,17,11,27,13,15,13
FAM66C,194,182,177,144,105,97,200,153,154,59,94,92,137,101,153,170,161,206
FAM66D,53,73,53,67,44,35,24,14,15,1,0,1,4,2,5,3,2,6
FAM66E,11,13,15,7,6,10,6,4,7,1,4,0,2,3,2,2,6,4
FAM69A,107,151,144,119,95,109,283,164,203,39,80,111,23,68,18,15,13,31
FAM69B,974,1479,1135,1194,1480,1385,842,989,993,120,479,321,818,285,346,407,489,458
FAM69C,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
FAM71A,0,2,2,1,1,4,1,3,0,0,0,0,1,1,0,0,4,1
FAM71B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM71C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM71D,0,0,1,1,2,0,10,2,4,11,2,7,1,4,3,4,2,0
FAM71E1,105,118,124,102,94,108,158,134,135,18,115,64,136,96,169,86,58,161
FAM71E2,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
FAM71F1,12,4,8,26,11,5,6,1,0,0,0,2,3,0,2,6,5,5
FAM71F2,157,195,132,184,131,159,174,116,89,1,0,0,6,0,0,1,4,1
FAM72A,116,101,131,148,75,86,280,178,193,28,108,65,207,160,389,119,162,288
FAM72B,166,155,174,219,106,104,384,249,308,18,85,51,315,199,461,168,194,395
FAM72C,22,20,23,22,14,21,79,54,55,22,98,169,41,40,65,26,38,58
FAM72D,112,85,103,112,52,59,293,185,180,40,122,174,119,63,188,74,87,191
FAM73A,832,889,757,1177,444,575,738,523,584,734,1250,1223,1020,771,1031,661,700,1201
FAM73B,1138,1353,1037,1021,1150,1306,1356,1497,1365,115,318,247,1115,282,390,704,812,806
FAM74A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM74A3,22,26,18,16,24,25,27,22,31,0,0,0,0,0,0,0,0,0
FAM74A4,0,0,0,0,0,0,0,1,0,0,0,2,3,2,1,0,0,0
FAM74A6,0,0,1,0,2,2,2,5,2,4,1,5,3,1,2,2,1,1
FAM76A,265,286,245,278,199,233,530,505,516,397,737,765,1202,843,1370,935,1100,1495
FAM76B,1186,1153,1023,1995,677,719,1428,996,1115,429,1155,958,1432,1060,1472,1009,1247,1682
FAM78A,64,51,51,17,32,59,45,43,41,67,65,52,127,125,265,124,163,246
FAM78B,5,0,3,4,2,13,7,3,2,4,0,0,139,41,71,82,105,216
FAM81A,247,206,204,191,115,176,121,182,127,124,450,294,514,466,644,441,474,616
FAM81B,56,43,82,10,17,42,0,0,1,5,38,50,0,0,0,0,0,1
FAM83A,13,16,25,13,52,16,0,0,7,6,7,11,8,2,4,3,1,2
FAM83A-AS1,0,2,0,3,3,4,1,1,0,0,0,0,2,0,0,3,0,0
FAM83B,62,26,45,6,4,8,349,584,431,5,1,3,3,0,2,0,0,2
FAM83C,2,4,1,1,4,0,0,2,0,0,0,2,1,0,0,1,1,0
FAM83C-AS1,0,3,5,0,0,2,2,1,1,2,5,2,8,8,8,10,13,9
FAM83D,1375,1338,1197,1260,843,1001,1519,1107,1269,385,1588,897,2058,1696,2102,1116,1331,2755
FAM83E,174,158,163,179,497,211,1048,1017,1020,1,5,15,12,8,1,7,11,6
FAM83F,5570,4820,5728,6921,5222,4838,3926,2291,2345,471,1868,791,1481,632,1099,833,1187,1581
FAM83G,634,832,653,401,410,511,715,744,684,196,817,427,2498,1642,1927,1353,1613,2329
FAM83H,2366,2348,1955,2151,2506,2471,3638,3900,3378,301,1001,912,745,369,717,494,499,663
FAM83H-AS1,289,267,238,320,440,333,735,766,637,42,192,139,109,41,132,68,97,101
FAM84A,2987,3404,2682,4763,1626,2680,342,2771,1558,917,2693,2651,756,1281,721,317,388,883
FAM84B,2060,2338,1769,2560,2290,2019,2923,2654,3064,192,811,549,401,384,457,401,412,784
FAM85B,23,25,24,17,21,18,15,16,22,0,3,2,1,2,3,1,0,3
FAM86B1,262,277,273,280,253,244,132,113,114,2,26,12,36,29,30,33,27,30
