,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
RBMX2P3,3,6,2,5,19,5,5,5,6,29,25,25,36,8,5,32,13,7
RBMX2P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMX2P5,1,1,1,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0
RBMXL1,641,698,601,645,371,411,896,649,704,238,473,411,409,543,516,298,381,774
RBMXL2,0,0,0,0,0,0,13,5,11,18,30,24,41,8,64,39,53,58
RBMXL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMXP1,0,1,0,1,0,0,0,0,0,3,0,1,1,0,2,4,0,1
RBMXP2,5,8,7,6,4,2,14,9,9,3,4,4,4,0,0,3,7,7
RBMXP4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
RBMY1A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1A3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY1KP,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
RBMY2AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2EP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2FP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2NP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2OP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2QP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2TP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2XP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY2YP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMY3AP,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
RBP1,7751,7002,6780,5533,4212,5845,3981,3616,3296,1298,4185,1742,409,562,278,149,201,664
RBP2,8,3,28,1,1,26,0,0,0,7,52,8,0,0,0,0,0,0
RBP3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RBP4,12,18,26,14,17,26,360,32,74,0,0,3,42,0,37,84,95,213
RBP5,25,20,27,16,13,25,19,14,29,5,14,19,11,12,12,24,22,24
RBP7,208,151,187,117,96,148,162,163,149,337,821,410,1074,696,1320,597,670,1354
RBPJ,4340,4820,4038,4782,2890,3287,6249,4997,5320,2422,4809,3709,2477,2412,2916,1979,1957,3685
RBPJL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RBPJP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBPJP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBPJP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBPJP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBPMS,9,28,26,48,60,77,14,9,20,16,8,6,17,7,10,11,11,3
RBPMS-AS1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RBPMS2,73,37,50,22,17,31,15,14,17,1,6,3,9,3,13,12,17,36
RBPMSLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBX1,1030,1025,981,884,937,1043,1598,1743,1426,685,3320,2290,1962,1542,2373,1065,1387,3163
RC3H1,1291,1393,1195,1827,914,969,2162,1651,1755,317,877,691,1450,971,1254,955,1206,1323
RC3H1-IT1,4,4,9,7,15,7,8,10,11,12,12,9,10,1,3,5,3,4
RC3H2,3501,3619,3172,3820,1881,2376,4307,3226,2996,1074,2223,1898,8063,6381,10156,4463,5697,9311
RCAN1,1413,1369,1316,735,553,730,5138,3181,3526,1087,4877,2591,438,310,661,226,239,585
RCAN2,90,159,107,125,41,60,30,174,92,906,3386,2098,1561,3892,2560,346,476,767
RCAN3,793,745,694,946,489,623,1574,1708,1748,328,817,651,986,1516,1526,645,649,1127
RCBTB1,850,772,689,999,396,497,1103,916,1001,221,785,672,1675,1472,2221,1221,1567,2653
RCBTB2,258,196,231,208,105,136,363,224,183,93,271,343,244,151,214,89,162,236
RCBTB2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC1,1207,1216,1154,1176,983,1088,1596,1539,1433,566,1958,1342,2400,2168,3271,1389,1614,3326
RCC2,6198,6313,5743,5814,5023,5612,7375,7246,7276,2084,8807,6106,11591,9376,12946,7257,9315,15398
RCC2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RCC2P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2P6,62,53,56,26,65,35,75,87,96,34,24,19,28,3,11,36,31,31
RCC2P7,0,0,0,0,0,1,2,0,1,0,0,0,3,0,0,0,0,0
RCC2P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCCD1,2132,2162,2032,1623,1438,1845,1169,980,908,250,576,472,1001,361,688,758,808,1111
RCE1,978,960,889,574,868,903,1188,1191,1126,145,506,340,473,161,232,354,370,310
RCHY1,478,529,418,553,329,332,616,447,489,166,671,447,446,466,618,297,310,791
RCL1,428,388,349,406,271,272,435,371,414,135,623,381,265,252,341,163,160,424
RCN1,2966,2807,2569,4154,2190,2607,1224,840,773,467,2353,1023,14165,14956,18007,10811,11119,21161
RCN1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCN1P2,20,28,24,44,15,29,28,20,21,0,0,0,9,3,16,15,5,8
RCN2,2365,2173,2220,3976,1551,1672,3363,2804,2789,875,2471,2504,3658,3328,4104,1833,2604,3740
RCN3,121,131,117,166,166,132,138,231,185,155,300,247,271,99,52,247,233,106
RCOR1,1809,1776,1651,1426,893,1123,3596,2954,2964,525,1320,957,2419,2757,4358,1717,1907,3947
RCOR2,284,556,495,303,414,265,1541,1540,1615,4,130,30,3285,2102,2354,1604,1679,2723
RCOR3,1958,1949,1671,2814,1196,1315,1904,1510,1660,828,1461,1642,2213,1336,2185,1659,1841,2256
RCSD1,1,1,6,2,2,2,0,2,1,42,133,92,2,2,0,2,1,0
RCVRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD3,8,7,7,3,2,8,53,35,18,0,13,1,2,0,2,2,1,7
RD3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDH10,252,344,231,624,623,899,207,122,175,343,1128,891,385,390,581,207,254,353
RDH11,1711,1865,1673,2779,1530,1580,3281,3072,3029,2393,3018,3523,2348,2297,2801,1270,1368,2068
RDH12,9,7,4,2,3,5,9,1,1,1,23,11,64,49,135,34,34,108
RDH13,195,176,161,209,241,197,288,320,320,66,150,89,216,116,65,106,108,96
RDH14,534,559,499,750,479,612,445,490,444,155,364,422,885,584,1047,508,602,971
RDH16,22,59,44,56,49,43,56,79,58,4,23,14,74,9,9,40,30,9
RDH5,62,44,43,56,43,87,144,153,137,14,31,61,40,8,10,34,41,16
RDH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDM1,191,157,187,140,122,134,172,125,129,15,82,115,189,152,229,120,133,240
RDX,2857,3314,2984,3919,2252,2548,3689,2910,2665,4303,5807,5168,11940,14125,17432,7695,8279,18728
REC8,2156,2255,1777,1798,1525,1808,6905,6637,5773,871,3467,1717,5155,2900,2137,2974,3187,3555
RECK,303,320,228,350,211,186,472,408,419,2,3,0,16,24,5,2,3,2
RECQL,2486,2399,1888,3089,1254,1606,4921,3131,3331,1317,2961,3417,2243,2329,2782,1594,1810,3532
RECQL4,2859,2949,2568,1918,2698,2550,4710,4215,4146,413,1098,627,2376,520,846,1542,1734,1320
RECQL5,1047,1082,960,927,859,1052,2740,2855,2824,254,719,613,969,331,502,652,728,718
REEP1,1090,844,871,833,513,746,830,396,411,25,144,46,396,300,734,230,256,666
REEP2,498,562,502,415,412,485,781,766,665,66,153,56,352,154,355,213,203,292
REEP3,2082,1710,1697,2183,1097,1338,1533,1224,1457,450,942,627,1365,1158,1614,844,836,1585
REEP4,990,1103,923,725,1145,1047,528,722,754,87,281,174,309,173,261,206,261,381
REEP5,1495,1411,1280,1916,1179,1307,1225,1116,1155,641,2164,1572,1331,1564,1883,805,914,1742
REEP6,19,17,16,10,29,22,36,37,28,3,17,15,43,32,52,18,16,26
REG1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG3A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
REG3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG4,0,0,0,1,0,1,3,0,1,0,0,0,2,1,12,2,4,6
REL,190,196,123,218,68,83,320,252,288,405,196,356,261,251,296,241,240,423
RELA,2280,2403,1784,1791,1623,2085,2018,1852,1886,304,1361,853,1070,875,1079,593,677,1376
RELB,230,280,165,229,264,305,378,164,197,28,70,29,78,36,116,66,120,244
RELL1,214,138,174,90,58,77,321,285,322,50,389,109,455,569,692,330,327,692
RELL2,143,284,178,143,187,219,330,301,357,83,217,151,101,24,48,138,81,132
RELN,358,141,189,145,111,163,390,1478,1138,164,479,170,1355,1313,1573,491,568,1378
RELT,694,800,595,401,555,521,1323,1129,1311,99,382,216,482,191,283,372,436,429
REM1,0,0,0,0,0,0,0,0,0,1,0,0,343,217,320,201,183,384
REM2,20,40,21,29,21,25,68,45,48,6,16,14,76,31,70,62,54,112
REN,12,16,8,8,25,16,2,2,2,29,66,59,1,1,2,2,0,0
RENBP,40,100,37,36,78,59,130,119,170,39,27,46,95,31,30,59,42,50
REP15,8,4,7,4,4,2,1,1,2,2,2,17,0,2,0,0,0,0
REPIN1,8180,8795,6903,7022,6362,8041,4025,4821,4398,177,1264,580,1246,747,1011,816,914,1608
REPS1,1424,1470,1320,1670,964,1142,2516,2851,2703,431,1236,980,1017,1281,705,524,542,907
REPS2,561,495,533,642,344,360,674,442,454,75,395,175,268,303,384,195,161,449
RER1,1551,1548,1420,1256,1164,1463,3120,2889,2619,1168,3450,2598,3382,2353,3251,2121,2547,3898
RERE,3333,3884,3023,4636,2598,3294,6377,5216,5627,2397,3837,3865,5028,2668,4169,4438,3579,4740
REREP1Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REREP2Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RERG,96,109,46,115,77,135,35,34,30,13,104,53,426,211,1190,376,506,1229
RERG-AS1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,1
RERG-IT1,2,2,1,2,0,1,0,0,0,0,0,0,4,0,1,6,12,5
RERGL,5,10,13,2,4,2,0,1,0,32,57,100,0,0,0,1,0,1
RESP18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
REST,71,67,72,196,114,138,11,24,16,183,244,253,23,27,14,15,13,7
RET,2689,1100,1661,1319,697,1058,909,394,250,495,2036,1428,39,3,17,69,52,255
RETN,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
RETNLB,3,3,4,28,9,15,2,2,3,1,42,131,3,1,1,1,1,0
RETSAT,805,772,677,774,583,724,365,342,405,84,333,260,537,496,489,258,309,388
REV1,2747,2913,2388,2709,1772,1775,2067,1980,2104,2168,2588,2766,2084,1035,1445,1680,1686,2028
REV3L,7595,7048,5924,9784,3596,4206,5549,3332,3335,3838,5197,5157,1450,1735,1198,948,1079,1427
REV3L-IT1,2,5,3,5,13,10,4,0,2,26,16,27,2,1,0,4,0,0
REXO1,2073,2146,1792,2455,1933,2191,3116,3248,3138,219,805,523,1959,754,1295,1358,1493,1528
REXO1L10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L12P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L1P,1,2,2,0,1,3,10,3,2,17,5,9,15,8,3,1,1,4
REXO1L2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO1L9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REXO2,1155,1266,981,1347,780,1072,402,592,476,288,492,541,1223,753,736,590,883,1385
REXO4,745,934,815,710,644,827,996,882,862,153,697,381,765,668,985,529,610,1308
RFC1,6116,4974,5225,4417,3261,5212,4452,3572,3232,5855,6889,7749,3376,2975,3776,2985,2548,5241
RFC2,1052,1101,898,1063,883,1003,2515,2530,2283,276,1385,768,2732,2633,3339,1497,1712,3792
RFC3,821,679,633,876,389,530,1986,1171,1291,306,1316,710,2376,2513,3473,1522,1966,4548
RFC3P1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFC4,2597,2676,2636,2664,1894,2080,2137,1994,1786,1185,3938,3212,3746,2741,3404,1727,2126,3446
RFC5,2039,2031,1869,2031,1344,1453,3124,2810,3046,312,1744,1095,2441,1507,2592,1615,1889,3011
RFESD,67,65,64,65,35,40,81,43,55,24,97,77,48,49,40,21,31,45
RFESDP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFFL,1315,1399,1243,1479,1013,1178,835,758,762,526,894,961,773,715,748,545,553,871
RFK,381,501,382,957,314,294,560,445,504,146,442,403,758,925,1543,472,606,1598
RFKP1,0,1,0,2,0,0,15,0,7,1,0,1,0,0,0,0,0,0
RFKP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFNG,1029,1166,1005,665,908,1059,833,928,852,249,822,575,510,198,230,284,330,316
RFPL1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
RFPL1S,24,26,32,26,31,25,13,12,19,11,10,14,126,14,186,90,78,116
RFPL2,2,3,0,0,1,0,21,13,12,0,0,0,0,1,0,0,0,0
RFPL3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
RFPL3S,21,23,19,24,20,17,117,114,120,11,9,16,31,6,8,25,31,12
RFPL4A,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,3,3,13
RFPL4AL1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4
RFPL4AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
RFPL4AP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4AP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4AP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4B,0,0,0,0,0,0,1,0,0,3,3,3,1,2,0,1,0,2
RFT1,330,298,239,302,196,273,217,219,191,38,150,111,154,136,171,84,91,197
RFTN1,52,158,103,108,90,230,70,196,481,6,48,4,2,0,0,1,0,0
RFTN1P1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RFTN2,14,24,29,18,12,16,26,29,27,8,7,12,21,12,8,19,25,18
RFWD2,959,875,796,979,638,793,1112,1042,1015,579,1459,1369,1156,1367,1872,724,708,2053
RFWD2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RFWD3,1412,1464,1268,1445,1063,1018,2587,2274,2330,623,1990,1293,4706,3433,5403,3439,3990,7561
RFX1,1060,1104,932,734,756,884,1214,988,1019,144,441,269,731,411,562,598,600,700
RFX2,1403,1271,1238,1269,922,1039,1331,1997,1770,579,853,775,757,314,570,720,609,850
RFX3,1335,1291,1117,1904,608,700,1877,1299,1362,272,865,719,1811,1422,2138,1226,1178,1915
RFX4,6,8,7,8,5,1,1122,946,1273,0,1,10,0,0,0,2,1,1
RFX5,1472,1528,1230,1713,988,1172,1615,1093,1090,163,836,348,1084,1185,1235,716,714,1310
RFX6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
RFX7,677,749,640,1037,435,489,1972,1275,1229,392,913,844,756,888,1002,504,618,1027
RFX8,7,5,5,5,4,1,1,1,1,0,0,0,185,40,81,67,60,60
RFXANK,805,864,736,680,663,905,605,713,607,371,1226,780,1314,937,1298,695,735,1495
RFXAP,218,203,191,230,137,137,257,250,209,97,293,212,864,707,1116,466,763,994
RGAG1,24,25,20,44,19,18,87,92,74,0,6,2,16,26,10,4,17,10
RGAG4,1227,1427,1050,631,561,600,1814,2379,2254,70,404,162,1173,811,1169,754,784,1171
RGCC,30,24,7,4,14,13,9,3,4,9,42,26,4,10,0,8,11,27
RGL1,182,188,195,167,130,158,309,404,283,156,127,149,266,270,225,243,317,576
RGL2,1465,1408,1300,1089,1063,1294,1690,1653,1736,554,2015,1283,2738,2153,1664,1491,1657,2291
RGL3,1754,1766,1758,1802,1355,1769,1469,1837,1813,435,557,596,99,27,49,213,176,105
RGL4,3,2,7,1,2,4,5,10,18,0,0,0,3,1,4,3,5,4
RGMA,506,306,371,245,207,395,288,350,281,15,76,33,60,14,17,21,34,40
RGMB,1019,966,803,854,663,671,2412,1295,1644,134,670,309,331,87,391,287,393,949
RGMB-AS1,15,16,7,34,13,16,9,8,5,15,19,26,8,4,24,8,18,14
RGN,8,16,15,5,8,10,36,45,58,7,1,4,9,5,1,6,8,2
RGP1,3257,3345,3261,2581,2236,2666,5385,4620,4296,866,2541,1675,1693,1264,1516,1173,1158,2032
RGPD1,37,36,35,57,36,34,2,3,7,0,0,1,153,35,8,64,58,17
RGPD2,138,99,110,128,59,68,92,99,107,0,0,0,47,3,3,24,16,1
RGPD3,13,6,9,4,1,2,9,6,8,2,1,1,265,217,168,101,213,94
RGPD4,3,3,3,3,1,3,0,4,3,0,0,0,1,1,0,1,2,2
RGPD4-AS1,1,1,3,1,6,0,6,8,10,15,11,12,8,1,3,7,7,3
RGPD5,65,49,50,53,23,34,50,51,55,7,6,14,38,5,5,18,10,8
RGPD6,1,0,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
RGPD8,86,67,63,74,38,38,43,29,29,10,33,21,85,84,67,88,105,89
RGR,2,0,1,1,0,0,1,0,0,1,1,1,0,0,2,0,0,1
RGS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS10,103,96,99,65,63,80,46,18,16,2,5,4,1037,718,681,504,505,1227
RGS11,57,49,38,119,60,33,307,71,68,0,1,0,50,0,3,22,20,13
RGS12,3840,3739,3655,4102,2747,3708,3397,3294,3234,1662,3256,2349,2005,682,1214,1564,1397,1504
RGS13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RGS14,203,255,174,186,220,179,161,192,206,25,71,76,200,88,168,149,183,261
RGS16,2890,3488,3142,1941,1938,1629,1655,3089,2532,686,2015,1782,2341,1225,1601,1143,1344,2032
RGS17,1166,1692,1047,3654,1089,1410,1909,1546,1440,6746,6485,9025,13,7,1,1,10,6
RGS17P1,6,9,5,10,0,4,3,6,6,3,4,4,0,2,2,0,1,1
RGS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS19,170,147,117,88,113,136,114,134,115,11,69,16,156,106,178,109,167,240
RGS2,47,62,54,32,42,16,280,307,475,50,151,172,629,351,1001,624,778,1551
RGS20,61,67,53,33,71,62,64,98,75,124,350,221,30,12,39,23,54,64
RGS21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS22,86,102,101,99,38,56,76,65,47,1,1,3,77,31,67,80,87,107
RGS3,3408,3157,3033,2248,1997,2602,2274,1824,1863,225,692,314,1797,817,1019,1047,1190,1560
RGS4,1,28,2,6,8,2,2258,608,1328,27,61,39,5,3,0,2,0,0
RGS5,79,83,93,151,63,60,71,48,54,101,214,316,225,90,303,166,195,258
RGS6,0,0,0,0,0,0,43,88,41,0,0,0,0,12,6,1,1,3
RGS7,286,248,192,528,178,213,1870,542,999,85,391,274,1,0,0,1,0,1
RGS7BP,2,2,2,8,0,5,126,64,106,265,365,285,31,1,35,3,14,21
RGS8,47,91,61,19,6,7,259,387,288,2,54,38,60,10,30,56,61,58
RGS9,265,202,178,120,78,111,65,43,63,37,246,113,95,115,146,82,68,178
RGS9BP,15,23,15,13,14,12,14,8,9,3,15,4,7,2,3,3,8,11
RGSL1,0,2,1,0,1,0,0,0,0,2,0,0,2,0,0,0,2,1
RHAG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RHBDD1,482,415,384,395,219,316,384,366,349,109,396,288,773,792,1459,602,685,1082
RHBDD2,1177,1569,1126,1024,1152,1252,3361,4092,3807,158,757,374,1264,938,995,567,668,1155
RHBDD3,1254,1380,1138,930,1102,1314,1401,1459,1247,131,348,267,819,259,488,484,652,639
RHBDF1,1782,1517,2039,612,692,755,43,48,73,606,905,2184,22,1,6,6,17,16
RHBDF1P1,0,0,0,0,1,1,4,0,1,0,0,0,1,0,0,0,0,0
RHBDF2,115,125,120,119,161,173,198,212,226,66,52,69,99,32,25,104,69,59
RHBDL1,206,206,188,176,183,262,591,563,503,9,6,5,116,8,23,104,168,39
RHBDL2,17,11,16,3,15,5,3,4,2,138,59,84,10,4,2,13,5,4
RHBDL3,2331,2268,1913,1335,1231,1724,1697,1353,1224,579,2071,1342,2210,1417,1541,1257,1485,1758
RHBG,28,52,40,56,57,45,121,115,77,1,2,1,10,1,0,12,11,4
RHCE,12,13,7,0,7,12,21,24,24,7,17,15,34,10,43,15,22,44
RHCG,5,6,8,2,6,6,3,2,8,0,0,0,1,3,7,3,2,10
RHD,1,1,1,1,1,2,4,1,1,1,2,1,4,1,1,2,4,0
RHEB,3799,4054,3236,4002,2609,2789,4979,3815,3949,800,3169,2108,3446,3660,5044,2253,2543,6074
RHEBL1,324,293,256,166,218,210,343,259,314,64,253,125,317,170,268,237,208,397
RHEBP1,3,4,7,2,1,2,3,2,3,0,0,0,3,1,0,1,0,0
RHEBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHEBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHNO1,1705,1915,1543,2110,1484,1693,2327,1991,2028,241,1120,1108,1862,1762,2979,2002,2344,4695
RHO,4,3,3,2,1,2,7,4,5,0,1,0,2,0,1,0,2,1
RHOA,5345,5916,4815,5410,4609,5556,5764,5647,5672,2161,6899,3940,6708,6993,9519,4274,5246,11181
RHOA-IT1,6,7,8,7,3,4,8,9,12,17,7,12,8,1,1,10,8,0
RHOB,2031,2279,2019,2082,1502,2371,1957,2921,3097,400,1507,795,2569,2428,2758,1398,1365,3424
RHOBTB1,530,502,466,635,410,389,1144,431,593,71,173,179,91,49,181,27,19,47
RHOBTB2,1155,1256,1035,948,992,1259,1405,1230,1094,265,876,482,324,279,371,212,231,447
RHOBTB3,2296,3042,2311,3205,1940,1906,1737,1398,1533,4695,7102,4581,1629,2161,719,1014,1543,2310
RHOC,555,560,500,458,463,615,461,847,772,124,249,212,185,84,181,100,87,209
RHOD,108,88,86,56,77,87,57,61,49,19,20,9,55,46,107,39,45,119
RHOF,313,285,254,364,241,262,1084,530,707,9,117,54,58,24,28,51,56,42
RHOG,702,703,639,349,507,706,207,214,236,109,721,381,320,232,322,162,174,317
RHOH,2,17,13,31,16,25,8,12,3,13,21,31,1,1,1,3,3,0
RHOJ,444,585,260,288,149,326,175,394,220,74,214,184,17,13,10,1,4,11
RHOQ,871,941,699,1257,597,657,983,1020,1233,760,946,848,873,929,877,558,657,1103
RHOQP1,32,37,21,27,23,18,109,96,64,7,14,8,10,6,11,3,12,5
RHOQP2,0,1,0,1,0,1,0,3,3,0,2,0,1,0,1,0,0,0
RHOQP3,3,0,4,2,0,4,5,1,4,4,5,2,0,2,5,1,1,5
RHOT1,1197,1243,1096,1385,800,887,1047,926,833,387,1497,951,1722,1947,2485,1041,1247,2770
RHOT1P1,1,3,0,1,0,0,0,1,0,0,0,2,2,1,0,1,0,0
RHOT1P2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RHOT1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RHOT2,2997,3507,2881,2810,3172,3366,7819,8602,8619,605,1467,1101,2701,893,1123,1851,2002,1915
RHOU,115,122,124,113,100,123,408,437,390,15,95,76,1844,1991,3410,1065,1498,3122
RHOV,19,48,30,40,39,44,76,73,65,145,270,299,341,281,435,126,198,254
RHOXF1,25,46,53,70,55,44,54,96,65,0,0,0,6,2,0,0,2,0
RHOXF2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RHPN1,1555,1477,1226,1183,1416,1616,3259,3501,3601,295,555,414,1128,192,222,1001,735,414
RHPN1-AS1,47,52,41,24,43,42,79,71,77,6,13,4,52,45,80,54,57,98
RHPN2,769,817,660,831,589,566,469,538,585,226,752,411,516,410,337,353,295,630
RIBC1,150,116,166,107,80,112,186,274,246,47,154,111,263,187,312,245,303,409
RIBC2,1150,1065,1101,851,562,891,1580,1248,1216,206,977,542,1234,967,1371,656,617,1348
RIC3,1297,1266,987,1448,798,859,1107,464,454,238,114,195,1517,337,408,1454,1275,842
RIC8A,2204,2230,1821,1914,1536,2010,1993,1303,1245,553,2530,1608,2042,1732,2309,1221,1464,2909
RIC8B,1172,998,930,1131,559,778,3439,2653,2585,450,1200,953,1109,838,1214,822,1107,1765
RICTOR,1578,1520,1236,2267,732,905,3894,1841,2362,1074,1482,1557,2561,1749,2111,1882,1922,3007
RIF1,5080,4916,4195,7436,2525,3027,6590,4561,4378,7943,7261,10102,6678,6636,7981,4889,5342,9746
RIIAD1,2,4,2,2,2,2,2,14,3,2,5,2,7,6,2,1,7,7
RILP,32,28,20,27,16,18,13,13,8,4,13,16,24,8,12,7,11,23
